laptopId;battery;cpu;description;frameRate;image;manufacturer;model;os;price;ram;resolution;screenSize;stockAvailable;storage;vga;webcam;weight
43989c3b-4eaa-42af-807b-0df075105f0f;"3Cell 45WH";"AMD Ryzen 5 5600H";"Đồ họa - Kỹ thuật, Gaming";"Mặc định";https://cellphones.com.vn/media/catalog/product/g/a/gaming_003_4.png;Lenovo;"Laptop Lenovo IdeaPad Gaming 3 15ACH6 82K201BBVN";"Windows 11 Home";20990000;8GB;"1920 x 1080 pixels (FullHD)";"15.6 inches";43;"512GB SSD M.2 2242 PCIe";"NVIDIA GeForce GTX 1650 4GB GDDR6";"720p with Camera";"2.25 kg"
446f0398-cf3a-40a6-8103-291baa4cc43b;"3 Cell 41Whr";"Intel Core i3-1115G4, upto 4.10GHz, 2 cores 4 threads";"Học tập - Văn phòng";"Mặc định";https://cellphones.com.vn/media/catalog/product/l/a/laptop-dell-latitude-3520-70251603-1.jpg;Dell;"Laptop Dell Latitude 3520 70251603 ";FreeOS;15890000;4GB;"1366 x 768 pixels (HD+)";"15.6 inches";43;"256GB M.2 PCIe NVMe Class 35 SSD";" Intel UHD Graphics";"Mặc định";"1.79 kg"
45659a6a-9dba-4532-8bad-f32167892ffe;72.4Wh;"Apple M3 Pro 12 nhân";"Học tập - Văn phòng, Đồ họa - Kỹ thuật, Cao cấp - Sang trọng, Laptop sáng tạo nội dung";120Hz;https://cellphones.com.vn/media/catalog/product/m/a/macbook-pro-14-inch-m3-pro-2023_1__1.png;Apple;"MacBook Pro 14 M3 Pro 18GB - 1TB | Chính hãng Apple Việt Nam";"Mặc định";59990000;18GB;"3024 x 1964 pixels ";"14.2 inches";46;1TB;"18 nhân<br>Neural Engine 16 nhân";"HD 1080p";"1,55 kg"
458ac037-8157-45e3-8da3-c039e5943065;"90WHrs, 4S1P, 4-cell Li-ion";"AMD Ryzen 7 6800HS";Gaming;"Mặc định";https://cellphones.com.vn/media/catalog/product/_/0/_0005_gearvn-laptop-gaming-asus-rog-ze_2_.jpg;ASUS;"Laptop ASUS Gaming ROG Zephyrus G15 GA503RM-LN006W";"Windows 11 Home SL ";48490000;16GB;"2560 x 1440 pixels (2K)";"15.6 inches";43;"512GB M.2 NVMe PCIe 4.0 SSD";NVIDIA® GeForce RTX 3060;"720P ";"1.9 kg"
45d2378a-1106-4766-b79e-c813690940ab;"4 Cell";"Core i5-1135G7";"Cao cấp - Sang trọng, Mỏng nhẹ";"Mặc định";https://cellphones.com.vn/media/catalog/product/k/e/kek2t_1024x1024.jpg;Microsoft;"Surface Pro 7 Plus Core i5 / 8GB / 128GB Nhập Khẩu Chính Hãng";"Windows 10 Pro hoặc Win 11";21700000;8GB;"2736 x 1824 pixels";"12.3 inches";43;"128GB SSD";"Intel Iris X Graphics";"Camera trước: 5.0MP, 1080p full HD <br> Camera sau: 8.0MP, 1080p full HD";770g
4634cadd-f247-4243-b258-f53fa7bb3daa;"37 Wh";"Intel Celeron N4120 1.1 Ghz (upto 2.6 GHz , 4 lõi / 4 luồng)";"Học tập - Văn phòng";"60 Hz";https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_9_36.png;Masstel;"Laptop Masstel E140 Celeron";"Windows 10 Pro";7990000;4GB;"1366 x 768 pixels";"14 inches";46;"SSD 128 GB";"Intel UHD";"Mặc định";"1.39 kg"
4657bde7-a16d-430d-b963-1f0ae6d09d59;"58Whr 3-cell 65W PD Type-C Adapter";"Intel Core Ultra 5 125U (12 lõi / 14 luồng, 3.6 GHz, 4.3 GHz, 12 MB Intel Smart Cache)";"Học tập - Văn phòng, Mỏng nhẹ";"60 Hz";https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_41__2_16_1.png;Acer;"Laptop Acer Swift Lite 14 AI SFL14-51M-56HS";"Windows 11 Home SL";19990000;16GB;"1920 x 1200 pixels (FullHD+)";"14 inches";46;"512GB PCIe NVMe SSD (Nâng cấp tối đa 2TB)";"Intel Graphics ";"Camera FHD";"1.27 kg"
467f3483-4df8-482e-98ce-fd14224991ae;"Mặc định";"Apple M2 8 nhân ";"Học tập - Văn phòng";"Mặc định";https://cellphones.com.vn/media/catalog/product/m/a/mac-mini-3_1_2_4.jpg;Apple;"Mac mini M2 2023 (8 CPU - 10 GPU - 24GB - 512GB) | Chính hãng Apple Việt Nam";"Mặc định";32990000;24GB;"Mặc định";"Mặc định";43;"512GB SSD";"10 nhận GPU<br>16 nhân Neural Engine";"Mặc định";"Mặc định"
46fefb71-a69c-42f8-a11a-ef259dcf1a2c;"4 Cell 70WHr";"AMD Ryzen 5 5600H 3.3GHz up to 4.2GHz 16MB";"Đồ họa - Kỹ thuật, Gaming";"Mặc định";https://cellphones.com.vn/media/catalog/product/t/e/text_d_i_2_.png;HP;"Laptop HP Gaming Victus 16-E0175AX 4R0U8PA";"Windows 10 Home SL ";26490000;8GB;"1920 x 1080 pixels (FullHD)";"16.1 inches";43;"512GB SSD M.2 PCIE";"NVIDIA GeForce RTX 3050Ti 4GB GDDR6";"HD 720p";"2.46 kg"
482b03d0-07cc-4fed-be3b-43e32cf6282a;"3-cell, 41 Wh lithium-polymer";"Intel Core i3-1215U (15 W, 6 lõi / 8 luồng, 1.20 GHz to 4.40 GHz, 10 MB)";"Học tập - Văn phòng";"60 Hz";https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_2__5_36.png;Dell;"Laptop Dell Vostro 3520 F0V0VI3 - Nhập khẩu chính hãng";"Free OS";11990000;8GB;"1920 x 1080 pixels (FullHD)";"15.6 inches";46;"512GB PCIE";"Intel UHD Graphics";"HD camera ";"1.90 kg"
